GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900067,NOP,DEN,15,1,"OCT 31, 2019",0.0,0.0,121.0,-4.0,46.0,30.75,8.0,5.25,16.25,26.5,0.36675,0.75,0.75,105.75,2.0,48.5,22.0,8.0,5.5,13.25,22.75,0.361,1461.1093858192735,1518.0195093041968
0021900066,ATL,MIA,-9,0,"OCT 31, 2019",0.5,0.5,105.0,0.0,43.0,25.0,10.0,5.25,18.0,23.75,0.3175,0.75,0.75,118.0,2.0,48.75,23.75,8.5,6.5,21.0,27.0,0.39725,1500.2553313019505,1520.0075668146078
0021900068,LAC,SAS,6,1,"OCT 31, 2019",0.6,0.6,116.4,1.0,41.0,23.8,7.4,5.2,16.6,25.4,0.39479999999999993,1.0,1.0,119.0,3.0,51.333333333333336,25.333333333333332,5.666666666666667,7.0,16.0,18.666666666666668,0.336,1508.6046885712797,1529.4488513865042
0021900076,GSW,SAS,-17,0,"NOV 01, 2019",0.25,0.25,114.5,-2.0,46.25,26.25,9.0,2.5,15.75,20.0,0.29875,0.75,0.75,113.5,2.0,50.75,22.75,5.75,6.5,16.75,21.0,0.33525,1480.0389971728102,1518.8496269151788
0021900071,ORL,MIL,-32,0,"NOV 01, 2019",0.5,0.5,95.75,0.0,47.75,21.25,8.5,5.75,11.5,17.5,0.28600000000000003,0.5,0.5,119.25,0.0,48.75,25.75,6.75,6.25,14.0,23.75,0.35525,1500.016985300088,1499.9995252688602
0021900075,SAC,UTA,1,1,"NOV 01, 2019",0.0,0.0,98.6,-5.0,41.6,20.2,7.4,4.6,17.4,21.8,0.3294,0.8,0.8,101.0,3.0,43.4,20.8,7.6,3.6,18.2,24.4,0.3674,1452.506709671893,1528.9062037119866
0021900073,CHI,DET,6,1,"NOV 01, 2019",0.2,0.2,105.6,-3.0,41.8,21.0,9.2,4.6,10.6,21.8,0.2918,0.4,0.4,107.8,-1.0,41.8,23.4,5.8,4.4,18.8,20.4,0.4316,1469.730137289082,1490.2795194410787
0021900069,BKN,HOU,7,1,"NOV 01, 2019",0.25,0.25,120.0,-2.0,50.25,22.25,7.75,5.25,19.5,24.25,0.38225,0.75,0.75,128.0,2.0,46.5,26.75,7.25,5.25,15.0,23.75,0.31875,1478.874737736182,1518.9061763414215
0021900070,IND,CLE,7,1,"NOV 01, 2019",0.25,0.25,105.25,-2.0,39.5,24.5,8.75,3.75,12.0,24.25,0.36175,0.5,0.5,106.0,0.0,48.25,21.75,5.5,4.75,15.5,19.5,0.33625,1480.8382326419155,1499.6957464026652
0021900074,DAL,LAL,-9,0,"NOV 01, 2019",0.75,0.75,114.75,2.0,45.75,24.0,6.75,5.0,12.25,19.25,0.31675,0.75,0.75,109.25,2.0,46.0,23.5,8.5,8.0,14.75,21.5,0.3315,1519.4334533339556,1519.9839246377703
0021900072,BOS,NYK,2,1,"NOV 01, 2019",0.75,0.75,109.75,2.0,47.0,22.0,8.0,5.75,10.0,23.75,0.348,0.2,0.2,100.6,-3.0,48.0,18.8,8.2,5.0,18.2,24.6,0.36160000000000003,1519.9839808819784,1471.41181218434
0021900080,WAS,MIN,-22,0,"NOV 02, 2019",0.25,0.25,119.25,-2.0,43.75,27.0,6.0,5.25,15.75,23.75,0.39075000000000004,0.75,0.75,114.75,2.0,46.0,22.25,11.25,4.25,16.25,20.25,0.29825,1480.8389304824866,1519.9919566426781
0021900077,OKC,NOP,11,1,"NOV 02, 2019",0.2,0.2,102.2,-3.0,50.8,18.0,7.0,4.0,17.0,23.0,0.315,0.2,0.2,121.2,-3.0,44.2,30.6,7.8,5.0,16.0,25.4,0.38439999999999996,1471.1497599518902,1472.7328968224224
